%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1636841697246491728,29315,1636841697246243510,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841697346482119,29316,1636841697346230892,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841697446584006,29317,1636841697446230643,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841697546547679,29318,1636841697546233841,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841697646521163,29319,1636841697646239148,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841697746551393,29320,1636841697746243908,smart2_02/odom,smart2_02/base_footprint,-0.33476087451,-0.903544485569,0.0,0.0,0.0,0.995395946171,0.095848371641,288.176208496,145.985549927,0.0,0.0,0.0,107.139381409,145.985488892,685.753356934,0.0,0.0,0.0,389.986175537,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.139381409,389.986175537,0.0,0.0,0.0,568.278747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841697846655052,29321,1636841697846239882,smart2_02/odom,smart2_02/base_footprint,-0.335740745068,-0.903345167637,0.0,0.0,0.0,0.994521625493,0.104531030931,288.135559082,145.802536011,0.0,0.0,0.0,107.022285461,145.802444458,684.989685059,0.0,0.0,0.0,389.430053711,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.022285461,389.430053711,0.0,0.0,0.0,568.406433105,0.0668978989124,0.0,0.0,0.0,0.0,0.0,0.000478385714814,-0.000101685000118,0.0,0.0,0.0,-3.12342308462e-06,-0.000101685000118,2.16218722926e-05,0.0,0.0,0.0,-1.46948441397e-05,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,-3.12365591526e-06,-1.46948150359e-05,0.0,0.0,0.0,0.0300462767482
1636841697946451722,29322,1636841697946219583,smart2_02/odom,smart2_02/base_footprint,-0.334764480591,-0.903561592102,0.0,0.0,0.0,0.987687983102,0.156436722146,288.188232422,145.989746094,0.0,0.0,0.0,107.141540527,145.989639282,685.751037598,0.0,0.0,0.0,389.985870361,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.141540527,389.985870361,0.0,0.0,0.0,568.812194824,0.0,0.0,0.0,0.0,0.0,-1.15117537975,0.00102393992711,-0.000322852283716,0.0,0.0,0.0,0.0,-0.000322852283716,0.00010179659148,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0676483735442
1636841698046474004,29323,1636841698046244548,smart2_02/odom,smart2_02/base_footprint,-0.333821862936,-0.903895378113,0.0,0.0,0.0,0.983254518132,0.182237626666,288.262817383,146.220046997,0.0,0.0,0.0,107.327796936,146.219955444,686.487121582,0.0,0.0,0.0,390.5234375,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.327796936,390.5234375,0.0,0.0,0.0,569.015075684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841698146434470,29324,1636841698146246841,smart2_02/odom,smart2_02/base_footprint,-0.333821862936,-0.903895378113,0.0,0.0,0.0,0.983254518132,0.182237626666,288.262817383,146.220046997,0.0,0.0,0.0,107.327796936,146.219955444,686.487121582,0.0,0.0,0.0,390.5234375,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.327796936,390.5234375,0.0,0.0,0.0,569.015075684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841698246588394,29325,1636841698246245410,smart2_02/odom,smart2_02/base_footprint,-0.333821862936,-0.903895378113,0.0,0.0,0.0,0.983254518132,0.182237626666,288.262817383,146.220046997,0.0,0.0,0.0,107.327796936,146.219955444,686.487121582,0.0,0.0,0.0,390.5234375,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.327796936,390.5234375,0.0,0.0,0.0,569.015075684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841698346407664,29326,1636841698346233159,smart2_02/odom,smart2_02/base_footprint,-0.333821862936,-0.903895378113,0.0,0.0,0.0,0.983254518132,0.182237626666,288.262817383,146.220046997,0.0,0.0,0.0,107.327796936,146.219955444,686.487121582,0.0,0.0,0.0,390.5234375,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.327796936,390.5234375,0.0,0.0,0.0,569.015075684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841698446442306,29327,1636841698446229192,smart2_02/odom,smart2_02/base_footprint,-0.333821862936,-0.903895378113,0.0,0.0,0.0,0.986285232519,0.165049811011,288.264801025,146.219329834,0.0,0.0,0.0,107.327796936,146.219238281,686.487365723,0.0,0.0,0.0,390.5234375,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.327796936,390.5234375,0.0,0.0,0.0,569.15032959,0.0,0.0,0.0,0.0,0.0,1.15654146671,0.00100029597525,-0.000354228279321,0.0,0.0,0.0,0.0,-0.000354228308424,0.000125440565171,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0676483735442
1636841698546962356,29328,1636841698546235506,smart2_02/odom,smart2_02/base_footprint,-0.332858264446,-0.90416264534,0.0,0.0,0.0,0.994521625493,0.104531030931,288.329528809,146.425231934,0.0,0.0,0.0,107.483695984,146.42515564,687.241088867,0.0,0.0,0.0,391.071075439,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.483695984,391.071075439,0.0,0.0,0.0,569.623718262,0.0,0.0,0.0,0.0,0.0,1.153414011,0.00107299780939,-0.00023788359249,0.0,0.0,0.0,0.0,-0.00023788359249,5.27387855982e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0676483735442
1636841698646595623,29329,1636841698646286150,smart2_02/odom,smart2_02/base_footprint,-0.332858264446,-0.90416264534,0.0,0.0,0.0,0.996194464453,0.0871584132091,288.331695557,146.424819946,0.0,0.0,0.0,107.483695984,146.424743652,687.241210938,0.0,0.0,0.0,391.071075439,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.483695984,391.071075439,0.0,0.0,0.0,569.758972168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841698746479388,29330,1636841698746234311,smart2_02/odom,smart2_02/base_footprint,-0.332858264446,-0.90416264534,0.0,0.0,0.0,0.996194464453,0.0871584132091,288.331695557,146.424819946,0.0,0.0,0.0,107.483695984,146.424743652,687.241210938,0.0,0.0,0.0,391.071075439,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,107.483695984,391.071075439,0.0,0.0,0.0,569.758972168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
